year,month,sales,id_region,id_product
2019,Apr,20809344.540843904,446676598784,833223655424
2019,Apr,6.745102077594416,1151051235328,996432412672
2019,Apr,162755.76036866353,446676598784,1649267441664
2019,Apr,8557692.814664159,446676598784,103079215104
2019,Apr,647845.1715881879,446676598784,360777252864
2019,Apr,21452016.734031864,446676598784,481036337152
2019,Apr,9687.665731277191,893353197568,1279900254208
2019,Apr,-1.0,446676598784,1692217114624
2019,Apr,-1.0,1151051235328,1692217114624
2019,Apr,0.8238292613855775,1151051235328,1606317768704
2019,Apr,8.289781942692374,1151051235328,644245094400
2019,Apr,26655876.013696145,446676598784,85899345920
