year,month,sales,id_region,id_product
2019,Feb,19752487.552490275,446676598784,833223655424
2019,Feb,885.0508701402017,1151051235328,996432412672
2019,Feb,149084.96973081757,446676598784,1649267441664
2019,Feb,8156996.211742015,446676598784,103079215104
2019,Feb,585670.5848880642,446676598784,360777252864
2019,Feb,20930189.570962645,446676598784,481036337152
2019,Feb,8889.550414390105,893353197568,1279900254208
2019,Feb,-1.0,446676598784,1692217114624
2019,Feb,-1.0,996432412672,1692217114624
2019,Feb,0.526878717787952,1151051235328,1606317768704
2019,Feb,,996432412672,644245094400
2019,Feb,26419943.202474207,446676598784,85899345920
