year,month,sales,id_region,id_product
2019,May,22684694.05973019,446676598784,833223655424
2019,May,3.9615884385003,1151051235328,996432412672
2019,May,164790.08863393866,446676598784,1649267441664
2019,May,8849545.73785905,446676598784,103079215104
2019,May,697927.3497501556,446676598784,360777252864
2019,May,22570184.13463061,446676598784,481036337152
2019,May,11665.398958366346,446676598784,1279900254208
2019,May,-1.0,446676598784,1692217114624
2019,May,-1.0,996432412672,1692217114624
2019,May,2.37695306310018,1151051235328,1606317768704
2019,May,5.651866172260427,1151051235328,644245094400
2019,May,27731515.54527302,446676598784,85899345920
