year,month,sales,id_region,id_product
2019,Jan,19388230.93333605,446676598784,833223655424
2019,Jan,138476.14343976413,446676598784,1649267441664
2019,Jan,2224.2531936884875,850403524608,1675037245440
2019,Jan,7790639.34868612,446676598784,103079215104
2019,Jan,539376.8934283082,446676598784,360777252864
2019,Jan,20280245.515598036,446676598784,481036337152
2019,Jan,8357.00065681278,893353197568,1279900254208
2019,Jan,-1.0,446676598784,1692217114624
2019,Jan,-1.0,1151051235328,1692217114624
2019,Jan,,996432412672,1606317768704
2019,Jan,5.753476270729062,1151051235328,644245094400
2019,Jan,25393684.974262103,446676598784,85899345920
